station_seqnum,date,rgp1,rgp2,who_entered
1240001,2024-12-01,34.4,34.4,7
1240001,2024-12-02,11.6,11.8,7
1240001,2024-12-03,0,0,7
1240001,2024-12-04,0,0,7
1240001,2024-12-05,0,0,7
1240001,2024-12-06,0,0,7
1240001,2024-12-07,0,0,7
1240001,2024-12-08,0,0,7
1240001,2024-12-09,0,0,7
1240001,2024-12-10,0,0,7
1240001,2024-12-11,0,0,7
1240001,2024-12-12,0,0,7
1240001,2024-12-13,0,0,7
1240001,2024-12-14,0,0,7
1240001,2024-12-15,0,0,7
1240001,2024-12-16,0,0,7
1240001,2024-12-17,0,0,7
1240001,2024-12-18,8.6,8.6,7
1240001,2024-12-19,67.2,78.6,7
1240001,2024-12-20,12.4,12.2,7
1240001,2024-12-21,1.2,1.2,7
1240001,2024-12-22,2.2,2.8,7
1240001,2024-12-23,0.2,0.2,7
1240001,2024-12-24,15.4,19.2,7
1240001,2024-12-25,6.6,8.2,7
1240001,2024-12-26,0,0,7
1240001,2024-12-27,0,0,7
1240001,2024-12-28,0,0,7
1240001,2024-12-29,0,0,7
1240001,2024-12-30,0,0,7
1240001,2024-12-31,0,0,7
1240002,2024-12-01,0,0,7
1240002,2024-12-02,6.6,8.6,7
1240002,2024-12-03,0,0.2,7
1240002,2024-12-04,0.4,0.4,7
1240002,2024-12-05,0,0,7
1240002,2024-12-06,0,0,7
1240002,2024-12-07,0,0,7
1240002,2024-12-08,0,0,7
1240002,2024-12-10,6,60,7
1240002,2024-12-11,5.4,6.6,7
1240002,2024-12-12,4.4,4.6,7
1240002,2024-12-13,0,0,7
1240002,2024-12-14,0.2,0,7
1240002,2024-12-15,0,0,7
1240002,2024-12-16,2.2,2.4,7
1240002,2024-12-17,0,0,7
1240002,2024-12-18,0.4,0.6,7
1240002,2024-12-19,0,0,7
1240002,2024-12-20,15.2,16.6,7
1240002,2024-12-21,4.8,5,7
1240002,2024-12-22,0,0,7
1240002,2024-12-23,0,0,7
1240002,2024-12-24,3,3,7
1240002,2024-12-25,0,0,7
1240002,2024-12-26,0.4,0.4,7
1240002,2024-12-27,0,0.2,7
1240002,2024-12-28,0,0,7
1240002,2024-12-29,0,0,7
1240002,2024-12-30,0,0,7
1240002,2024-12-31,0,0,7
1240004,2024-12-01,2.8,3.6,7
1240004,2024-12-02,0,0,7
1240004,2024-12-03,0,0,7
1240004,2024-12-04,0,0,7
1240004,2024-12-05,0,0,7
1240004,2024-12-06,0,0,7
1240004,2024-12-07,0,0,7
1240004,2024-12-08,0,0,7
1240004,2024-12-09,0.8,0.8,7
1240004,2024-12-10,14,15.4,7
1240004,2024-12-11,0,0,7
1240004,2024-12-12,0,0,7
1240004,2024-12-13,0,0,7
1240004,2024-12-14,0,0,7
1240004,2024-12-15,0,0,7
1240004,2024-12-16,17.2,18.6,7
1240004,2024-12-17,6.4,7,7
1240004,2024-12-18,0,0,7
1240004,2024-12-19,5.4,5.6,7
1240004,2024-12-20,0,0,7
1240004,2024-12-21,2.8,3,7
1240004,2024-12-22,14.8,16.2,7
1240004,2024-12-23,0.6,0.4,7
1240004,2024-12-24,6.4,6.8,7
1240004,2024-12-25,0,0,7
1240004,2024-12-26,0,0,7
1240004,2024-12-27,0,0,7
1240004,2024-12-28,0,0,7
1240004,2024-12-29,0,0,7
1240004,2024-12-30,0,0,7
1240004,2024-12-31,0,0,7
1240005,2024-12-01,0,0,7
1240005,2024-12-02,2.2,2.4,7
1240005,2024-12-03,0,0,7
1240005,2024-12-04,0,0,7
1240005,2024-12-05,0,0,7
1240005,2024-12-06,0,0,7
1240005,2024-12-07,0,0,7
1240005,2024-12-08,1.6,1.8,7
