station_seqnum,date,rgp1,rgp2,who
1240001,2025-03-01,0,0,7
1240001,2025-03-02,0,0,7
1240001,2025-03-03,0,0.2,7
1240001,2025-03-04,0,0,7
1240001,2025-03-05,0,0,7
1240001,2025-03-06,0,0,7
1240001,2025-03-07,0.6,0.6,7
1240001,2025-03-08,0,0,7
1240001,2025-03-09,55.6,67.8,7
1240001,2025-03-10,0.2,0.4,7
1240002,2025-03-01,0,0,7
1240002,2025-03-02,0,0,7
1240002,2025-03-03,0,0,7
1240002,2025-03-04,0,0,7
1240002,2025-03-05,0,0,7
1240002,2025-03-06,0,0.2,7
1240002,2025-03-07,0,0,7
1240002,2025-03-08,0,0,7
1240002,2025-03-09,0,0,7
1240002,2025-03-10,21,20.8,7
1240004,2025-03-01,0,0,7
1240004,2025-03-02,0,0,7
1240004,2025-03-03,0,0,7
1240004,2025-03-04,0,0,7
1240004,2025-03-05,0,0,7
1240004,2025-03-06,0,0,7
1240004,2025-03-07,0,0,7
1240004,2025-03-08,0,0,7
1240004,2025-03-09,1.4,1.4,7
1240004,2025-03-10,37.8,42,7
1240005,2025-03-01,0,0,7
1240005,2025-03-02,0,0,7
1240005,2025-03-03,0,0,7
1240005,2025-03-04,0,0,7
1240005,2025-03-05,0,0,7
1240005,2025-03-06,0,0,7
1240005,2025-03-07,1.2,0.2,7
1240005,2025-03-08,0,0,7
1240005,2025-03-09,16.6,0.2,7
1240005,2025-03-10,9.8,0.2,7
1240006,2025-03-01,0,0,7
1240006,2025-03-02,0,0,7
1240006,2025-03-03,0,0,7
1240006,2025-03-04,0,0,7
1240006,2025-03-05,0,0,7
1240006,2025-03-06,0,0,7
1240006,2025-03-07,0.6,0.6,7
1240006,2025-03-08,0,0,7
1240006,2025-03-09,0,0,7
1240006,2025-03-10,2.6,1.6,7
1240007,2025-03-01,0,0,7
1240007,2025-03-02,0.2,0,7
1240007,2025-03-03,0.2,0,7
1240007,2025-03-04,0,0,7
1240007,2025-03-05,0,0,7
1240007,2025-03-06,0,0,7
1240007,2025-03-07,0,0,7
1240007,2025-03-08,0,0,7
1240007,2025-03-09,0,0,7
1240007,2025-03-10,0,0,7
1240008,2025-03-01,0,0,7
1240008,2025-03-02,0,0,7
1240008,2025-03-03,0,0,7
1240008,2025-03-04,0,0,7
1240008,2025-03-05,0,0,7
1240008,2025-03-06,0,0,7
1240008,2025-03-07,0,0,7
1240008,2025-03-08,0,0,7
1240008,2025-03-09,0,0,7
1240008,2025-03-10,0,0,7
1240009,2025-03-01,0,0,7
1240009,2025-03-02,0,0,7
1240009,2025-03-03,0,0,7
1240009,2025-03-04,0,0,7
1240009,2025-03-05,0,0,7
1240009,2025-03-06,0,0,7
1240009,2025-03-07,0,0,7
1240009,2025-03-08,0,0,7
1240009,2025-03-09,0.4,0.2,7
1240009,2025-03-10,4.4,4.8,7
1240010,2025-03-01,0,0,7
1240010,2025-03-02,0,0,7
1240010,2025-03-03,0,0,7
1240010,2025-03-04,0,0,7
1240010,2025-03-05,0,0,7
1240010,2025-03-06,0,0,7
1240010,2025-03-07,0,0,7
1240010,2025-03-08,0.2,0,7
1240010,2025-03-09,38.2,0,7
1240010,2025-03-10,1.8,0,7
1240011,2025-03-01,0,0,7
1240011,2025-03-02,0,0,7
1240011,2025-03-03,0,0,7
1240011,2025-03-04,0,0,7
1240011,2025-03-05,0,0,7
1240011,2025-03-06,0,0,7
1240011,2025-03-07,0,0,7
1240011,2025-03-08,0,0,7
1240011,2025-03-09,2.4,2.4,7
1240011,2025-03-10,5.6,5.8,7
1240012,2025-03-01,0,0,7
1240012,2025-03-02,0,0,7
1240012,2025-03-03,0,0,7
1240012,2025-03-04,0,0,7
1240012,2025-03-05,0,0,7
1240013,2025-03-04,0,0.4,7
1240013,2025-03-05,0,0.2,7
1240013,2025-03-06,0,0.2,7
1240014,2025-03-01,0,0,7
1240014,2025-03-02,0,0,7
1240014,2025-03-03,0,0,7
1240014,2025-03-04,0,0,7
1240014,2025-03-05,0,0,7
1240014,2025-03-06,0,0,7
1240014,2025-03-07,0,0,7
1240014,2025-03-08,0,0,7
1240014,2025-03-09,17.2,18.2,7
1240014,2025-03-10,1.8,2,7
1240015,2025-03-01,0,0,7
1240015,2025-03-02,0.8,1,7
1240015,2025-03-03,0,0,7
1240015,2025-03-04,0,0,7
1240015,2025-03-05,0,0,7
1240015,2025-03-06,0,0,7
1240015,2025-03-10,0,0,7
1240016,2025-03-01,0,0,7
1240016,2025-03-02,0,0,7
1240016,2025-03-03,0,0,7
1240016,2025-03-04,0,0,7
1240016,2025-03-05,0,0,7
1240016,2025-03-06,0,0,7
1240016,2025-03-07,0,0,7
1240016,2025-03-08,0,0,7
1240016,2025-03-09,22.2,23.8,7
1240016,2025-03-10,19.2,21.2,7
1240017,2025-03-01,0,0,7
1240017,2025-03-02,0,0,7
1240017,2025-03-03,0,0,7
1240017,2025-03-04,0,0,7
1240017,2025-03-05,0,0,7
1240017,2025-03-06,0,0,7
1240017,2025-03-07,0,0,7
1240017,2025-03-08,0.2,0,7
1240017,2025-03-09,17.4,15,7
1240017,2025-03-10,31.4,31.4,7
1240018,2025-03-01,0,0,7
1240018,2025-03-02,0,0,7
1240018,2025-03-03,0,0,7
1240018,2025-03-04,0,0,7
1240018,2025-03-05,0,0,7
1240018,2025-03-06,0,0,7
1240018,2025-03-07,0,0,7
