station_seqnum,date,rgp1,rgp2,who_entered
1240001,2025-07-11,1.2,1.2,7
1240001,2025-07-12,1.6,4.8,7
1240001,2025-07-13,0.2,0,7
1240001,2025-07-14,4.6,4.8,7
1240001,2025-07-15,0,0,7
1240001,2025-07-16,0,0,7
1240001,2025-07-17,0,0,7
1240001,2025-07-18,3.8,3.8,7
1240001,2025-07-19,0.2,0,7
1240001,2025-07-20,0.2,0.2,7
1240002,2025-07-11,2.4,2.4,7
1240002,2025-07-12,0.6,0.4,7
1240002,2025-07-13,0,0,7
1240002,2025-07-14,0,0,7
1240002,2025-07-15,0,0,7
1240002,2025-07-16,0,0,7
1240002,2025-07-17,1.2,0,7
1240002,2025-07-18,0,0,7
1240002,2025-07-19,0,0,7
1240002,2025-07-20,0,0,7
1240004,2025-07-11,0,0,7
1240004,2025-07-12,0,0,7
1240004,2025-07-13,0,0,7
1240004,2025-07-14,0,0,7
1240004,2025-07-15,0,0,7
1240004,2025-07-16,0,0,7
1240004,2025-07-17,0,0,7
1240004,2025-07-18,0,0,7
1240004,2025-07-19,0,0,7
1240004,2025-07-20,0,0,7
1240005,2025-07-11,0.2,2,7
1240005,2025-07-12,0,0.2,7
1240005,2025-07-13,0.2,0,7
1240005,2025-07-14,0,0,7
1240005,2025-07-15,0,0,7
1240005,2025-07-16,0,0,7
1240005,2025-07-17,0,2.4,7
1240005,2025-07-18,0,0,7
1240005,2025-07-19,0,0,7
1240005,2025-07-20,0,0,7
1240007,2025-07-11,0.4,29.2,7
1240007,2025-07-12,8,29.2,7
1240007,2025-07-13,0.8,0.8,7
1240007,2025-07-14,2.2,2.2,7
1240007,2025-07-15,2.2,2.2,7
1240007,2025-07-16,5.8,5.8,7
1240007,2025-07-17,0.2,0.2,7
1240007,2025-07-18,0,0,7
1240007,2025-07-19,0,0,7
1240007,2025-07-20,0,0,7
1240008,2025-07-11,13.8,14,7
1240008,2025-07-12,11.2,11.6,7
1240008,2025-07-13,0,0,7
1240008,2025-07-14,2.4,2.2,7
1240008,2025-07-15,0,0,7
1240008,2025-07-16,4.6,4.8,7
1240008,2025-07-17,0.6,0.8,7
1240008,2025-07-18,0,0,7
1240008,2025-07-19,0.4,0.4,7
1240008,2025-07-20,0,0,7
1240009,2025-07-11,0,0,7
1240009,2025-07-12,0,0,7
1240009,2025-07-13,0,0,7
1240009,2025-07-14,0,0,7
1240009,2025-07-15,0,0,7
1240009,2025-07-16,0,0,7
1240009,2025-07-17,0,0,7
1240009,2025-07-18,0,0,7
1240009,2025-07-19,0,0,7
1240009,2025-07-20,0,0,7
1240010,2025-07-11,0,0,7
1240010,2025-07-12,0,0,7
1240010,2025-07-13,0.2,0,7
1240010,2025-07-14,0,0,7
1240010,2025-07-15,0,0,7
1240010,2025-07-16,0,0,7
1240010,2025-07-17,0,0,7
1240010,2025-07-18,0,0,7
1240010,2025-07-19,0,0,7
1240010,2025-07-20,0,0,7
1240011,2025-07-11,0,0.2,7
1240011,2025-07-12,8.6,9.2,7
1240011,2025-07-13,0,0,7
1240011,2025-07-14,0,0,7
1240011,2025-07-15,0,0,7
1240011,2025-07-16,0,0,7
1240011,2025-07-17,0,0,7
1240011,2025-07-18,0,0,7
1240011,2025-07-19,0.4,0.4,7
1240011,2025-07-20,1.2,1.4,7
1240012,2025-07-11,0,0,7
1240013,2025-07-15,0,0,7
1240013,2025-07-16,0,0,7
1240013,2025-07-19,0,0,7
1240014,2025-07-11,7,7.2,7
1240014,2025-07-12,1.6,1.6,7
1240014,2025-07-13,10.2,10.8,7
1240014,2025-07-14,4,4.4,7
1240014,2025-07-15,6.2,6.8,7
1240014,2025-07-16,11.4,11.2,7
1240014,2025-07-17,3.4,4,7
1240014,2025-07-18,1.2,1.4,7
1240014,2025-07-19,9.8,10.6,7
1240014,2025-07-20,4.4,4.6,7
1240016,2025-07-11,0,0,7
1240016,2025-07-12,0.4,0.4,7
1240016,2025-07-13,0,0,7
1240016,2025-07-14,11,12.4,7
1240016,2025-07-15,6.4,7.2,7
1240016,2025-07-16,2.8,3,7
1240016,2025-07-17,6.2,6.8,7
1240016,2025-07-18,0,0,7
1240016,2025-07-19,0.2,0.2,7
1240016,2025-07-20,67.6,71.8,7
1240017,2025-07-11,0,0,7
1240017,2025-07-12,0,0,7
1240018,2025-07-11,0,0,7
1240018,2025-07-12,12.8,12.8,7
1240018,2025-07-13,5.6,4.6,7
1240018,2025-07-14,3.8,3,7
1240018,2025-07-15,0.8,0.8,7
1240018,2025-07-16,0,0.2,7
1240018,2025-07-17,13.6,11.2,7
1240018,2025-07-18,1.2,1.4,7
1240018,2025-07-19,0,0.2,7
1240018,2025-07-20,0,0,7
1240019,2025-07-13,3.4,0,7
1240019,2025-07-14,3.4,0,7
1240019,2025-07-15,4.2,0,7
1240019,2025-07-17,0,0,7
1240019,2025-07-18,0,0,7
1240019,2025-07-20,5.6,0.2,7
1240020,2025-07-11,0.4,5,7
1240020,2025-07-12,0.2,25.4,7
1240020,2025-07-13,0.2,14.2,7
1240020,2025-07-14,0.4,6.2,7
1240020,2025-07-15,0.2,3.4,7
1240020,2025-07-16,0.8,1.2,7
1240020,2025-07-17,0,2.2,7
1240020,2025-07-18,0.2,0.2,7
1240020,2025-07-19,0,0,7
1240020,2025-07-20,0,0,7
1240021,2025-07-11,0,0,7
1240021,2025-07-12,0,0,7
1240021,2025-07-13,0.6,0.6,7
1240021,2025-07-14,4.8,0.8,7
1240021,2025-07-15,0,0,7
1240021,2025-07-16,0,0,7
1240021,2025-07-17,0,0,7
1240021,2025-07-18,0,0,7
1240021,2025-07-19,0,0,7
1240021,2025-07-20,0,0,7
1240022,2025-07-11,0,0,7
1240022,2025-07-12,0,0,7
1240022,2025-07-13,10.8,11,7
1240022,2025-07-14,1.2,1.2,7
1240022,2025-07-15,0,0,7
1240022,2025-07-16,0,0,7
1240022,2025-07-17,0,0,7
1240022,2025-07-18,0,0,7
1240022,2025-07-19,0,0,7
1240022,2025-07-20,0,0,7
1240023,2025-07-11,0,0,7
1240023,2025-07-12,127.4,18.6,7
1240023,2025-07-13,0,61.8,7
1240023,2025-07-14,0,3.6,7
1240023,2025-07-15,0,77.8,7
1240023,2025-07-16,0.4,2.6,7
1240023,2025-07-17,0,0,7
1240023,2025-07-18,0,2,7
1240023,2025-07-19,0,0,7
1240023,2025-07-20,0,0,7
1240024,2025-07-11,2.4,2.4,7
1240024,2025-07-12,0,0,7
1240024,2025-07-13,0,0,7
1240024,2025-07-14,0,0,7
1240024,2025-07-15,0,0,7
1240024,2025-07-16,0,0,7
1240024,2025-07-17,0,0,7
1240024,2025-07-18,0,0,7
1240024,2025-07-19,0,0,7
1240024,2025-07-20,0,0,7
1240029,2025-07-11,0.2,0,7
1240029,2025-07-12,0,0,7
1240029,2025-07-13,0,0,7
1240029,2025-07-14,0,0,7
1240029,2025-07-15,0,0,7
1240029,2025-07-16,0,0,7
1240029,2025-07-17,0,0,7
1240029,2025-07-18,0,0,7
1240029,2025-07-19,0,0,7
1240029,2025-07-20,0,0,7
1240030,2025-07-11,0,0,7
1240030,2025-07-12,0,0,7
1240030,2025-07-13,0,0,7
1240030,2025-07-14,0,0,7
1240030,2025-07-15,0,0,7
1240030,2025-07-16,0,0,7
1240030,2025-07-17,0,0,7
1240030,2025-07-18,0,0,7
1240030,2025-07-19,0,0,7
1240030,2025-07-20,0,0,7
1240031,2025-07-11,0,0,7
1240031,2025-07-12,0,0,7
1240031,2025-07-13,0,0,7
1240031,2025-07-14,0,0,7
1240031,2025-07-15,0,0,7
1240031,2025-07-16,0.2,0,7
1240031,2025-07-17,0,0,7
1240031,2025-07-18,0,0,7
1240031,2025-07-19,0,0,7
1240031,2025-07-20,0,0,7
1240033,2025-07-11,0.2,0,7
1240033,2025-07-12,0,0,7
1240033,2025-07-13,4.4,0,7
1240033,2025-07-14,7.4,0,7
1240033,2025-07-15,6.2,0,7
1240033,2025-07-16,19.6,0,7
1240033,2025-07-17,2.4,0,7
1240033,2025-07-18,10.8,0,7
1240033,2025-07-19,10.8,0,7
1240033,2025-07-20,0,0,7
1240034,2025-07-11,1.2,1.2,7
1240034,2025-07-12,0,0,7
1240034,2025-07-13,0,0,7
1240034,2025-07-14,0,0,7
1240034,2025-07-15,0,0,7
1240034,2025-07-16,0,0,7
1240034,2025-07-17,0,0,7
1240034,2025-07-18,0,0,7
1240034,2025-07-19,0,0,7
1240034,2025-07-20,0,0,7
1240035,2025-07-11,0,0,7
1240035,2025-07-12,0,0,7
1240035,2025-07-13,0,0,7
1240035,2025-07-14,0,0,7
1240035,2025-07-15,0,0,7
1240035,2025-07-16,0,0,7
1240035,2025-07-17,0,0,7
1240035,2025-07-18,0,0,7
1240035,2025-07-19,0,0,7
1240035,2025-07-20,0,0,7
1240036,2025-07-11,0,0,7
1240036,2025-07-12,0,0,7
1240036,2025-07-13,0,0,7
1240036,2025-07-14,0,0,7
1240036,2025-07-15,0,0,7
1240036,2025-07-16,0,0,7
1240036,2025-07-17,0,0,7
1240036,2025-07-18,0,0,7
1240036,2025-07-19,0,0,7
1240036,2025-07-20,0,0,7
1240037,2025-07-11,0,0,7
1240037,2025-07-13,0,0,7
1240037,2025-07-14,0,0,7
1240037,2025-07-15,0,0,7
1240037,2025-07-16,0,0,7
1240037,2025-07-17,0,0,7
1240037,2025-07-18,0,0,7
1240037,2025-07-19,0,0,7
