station_seqnum,date,rgp,rgp2,who_entered
1240052,2025-04-01,0,0.2,7
1240052,2025-04-02,2.2,0.2,7
1240052,2025-04-03,41.8,0.6,7
1240052,2025-04-04,16.8,11.6,7
1240052,2025-04-05,92.4,93,7
1240052,2025-04-06,6.6,6.8,7
1240052,2025-04-07,0.2,0.2,7
1240052,2025-04-08,0.2,0.4,7
1240052,2025-04-09,0.2,0.2,7
1240052,2025-04-10,0.2,0.2,7
1240052,2025-04-11,4.2,4.6,7
1240052,2025-04-12,0.2,0.2,7
1240052,2025-04-13,0.2,0.2,7
1240052,2025-04-14,0.2,0.2,7
1240052,2025-04-15,0,0.2,7
1240052,2025-04-16,0.2,0.2,7
1240052,2025-04-17,0,0.2,7
1240052,2025-04-18,2.2,3.8,7
1240052,2025-04-19,0.2,0.2,7
1240052,2025-04-20,15.8,16.2,7
1240052,2025-04-21,0,0,7
1240052,2025-04-22,8.6,6.8,7
1240052,2025-04-23,20.8,28,7
1240052,2025-04-24,0.2,0.2,7
1240052,2025-04-25,338.8,0.2,7
1240052,2025-04-26,0.2,0.4,7
1240052,2025-04-27,0.6,0.2,7
1240052,2025-04-28,0.2,0.2,7
1240052,2025-04-29,1,0.2,7
1240052,2025-04-30,0.4,0.2,7
1240052,2025-05-01,0.2,0.2,7
1240052,2025-05-02,0.2,0.2,7
1240052,2025-05-03,8.2,0.2,7
1240052,2025-05-04,0,0.2,7
1240052,2025-05-05,0.6,0.2,7
1240052,2025-05-06,0.6,0,7
1240052,2025-05-07,1,0.2,7
1240052,2025-05-08,10.6,0.2,7
1240052,2025-05-09,0.2,0.2,7
1240052,2025-05-10,1,1,7
1240052,2025-05-11,0.4,0.4,7
1240052,2025-05-12,48.8,25.2,7
1240052,2025-05-13,3.6,0,7
1240052,2025-05-14,4.2,0.4,7
1240052,2025-05-15,0,0.2,7
1240052,2025-05-16,0.2,0.2,7
1240052,2025-05-17,0,0.2,7
1240052,2025-05-18,1,0.4,7
1240052,2025-05-19,0,0,7
1240052,2025-05-20,0.6,0.2,7
1240052,2025-05-21,0,0.8,7
1240052,2025-05-22,0,0.2,7
1240052,2025-05-23,0,0.4,7
1240052,2025-05-24,0,0.2,7
1240052,2025-05-25,0.2,0.2,7
1240052,2025-05-26,0.6,0.2,7
1240052,2025-05-27,0,0.2,7
1240052,2025-05-28,2.2,0.2,7
1240052,2025-05-29,0,0.2,7
1240052,2025-05-30,0.2,0.2,7
1240052,2025-05-31,0.4,0.2,7
1240052,2025-06-01,0.2,0.4,7
1240052,2025-06-02,0,0.2,7
1240052,2025-06-03,0,0.2,7
1240052,2025-06-04,30.2,0.4,7
1240052,2025-06-05,216.4,0.2,7
1240052,2025-06-06,1,0.2,7
1240052,2025-06-07,27,0.2,7
1240052,2025-06-08,0.6,0.4,7
1240052,2025-06-09,184,0.2,7
1240052,2025-06-10,1090.4,0.2,7
1240052,2025-06-11,3,0.2,7
1240052,2025-06-12,0.6,0.2,7
1240052,2025-06-13,2323,0.2,7
1240052,2025-06-14,0,0.6,7
1240052,2025-06-15,0.4,0.4,7
1240052,2025-06-16,1.8,0.4,7
1240052,2025-06-17,2.4,0.2,7
1240052,2025-06-18,0.6,0.6,7
1240052,2025-06-19,19.4,0.2,7
1240052,2025-06-20,0,0.4,7
1240053,2025-04-13,0,0,7
1240053,2025-05-08,0,0,7
1240053,2025-05-09,12.6,2,7
1240053,2025-05-10,0,0,7
1240053,2025-05-11,0,0,7
1240053,2025-05-12,0,0,7
1240053,2025-05-13,32.4,27.6,7
1240053,2025-05-14,0,0,7
1240053,2025-05-15,0,0,7
1240053,2025-05-16,0,0,7
1240053,2025-05-17,0,0,7
1240053,2025-05-18,0,0,7
1240053,2025-05-19,0,0,7
1240053,2025-05-20,22.4,18.8,7
1240053,2025-05-21,14.8,12.2,7
1240053,2025-05-22,0,0.2,7
1240053,2025-05-23,0,0,7
1240053,2025-05-24,0,0,7
1240053,2025-05-25,0,0,7
1240053,2025-05-26,0,0,7
1240053,2025-05-27,0,0,7
1240053,2025-05-28,0,0,7
1240053,2025-05-29,0,0,7
1240053,2025-05-30,0,0,7
1240053,2025-05-31,0,0,7
1240053,2025-06-01,0,0,7
1240053,2025-06-02,0,0,7
1240053,2025-06-03,0,0,7
1240053,2025-06-04,8.6,7,7
1240053,2025-06-05,0,0.2,7
1240053,2025-06-06,25.4,21,7
1240053,2025-06-07,0,0,7
1240053,2025-06-08,0,0,7
1240053,2025-06-09,0,0,7
1240053,2025-06-10,0,0,7
1240053,2025-06-11,0,0,7
1240053,2025-06-12,0,0,7
1240053,2025-06-13,0,0,7
1240053,2025-06-14,0,0,7
1240053,2025-06-15,0,0,7
1240053,2025-06-16,0,0,7
1240053,2025-06-17,0,0,7
1240053,2025-06-18,3.2,2.4,7
1240053,2025-06-19,11.6,9.6,7
1240053,2025-06-20,0.2,0,7
1240054,2025-04-13,0,0,7
1240054,2025-05-07,0,0,7
1240054,2025-05-08,15.4,2.4,7
1240054,2025-05-09,0.2,0,7
1240054,2025-05-10,0,0,7
1240054,2025-05-11,0,0,7
1240054,2025-05-12,0,0,7
1240054,2025-05-13,6,5.8,7
1240054,2025-05-14,0,0,7
1240054,2025-05-15,0,0,7
1240054,2025-05-16,0,0,7
1240054,2025-05-17,0,0,7
1240054,2025-05-18,0,0,7
1240054,2025-05-19,0,0,7
1240054,2025-05-20,0,0,7
1240054,2025-05-21,0,0,7
1240054,2025-05-22,6.2,6.4,7
1240054,2025-05-23,0,0,7
1240054,2025-05-24,0,0,7
1240054,2025-05-25,0,0,7
1240054,2025-05-26,0,0,7
1240054,2025-05-27,0,0,7
1240054,2025-05-28,0,0,7
1240054,2025-05-29,0,0,7
1240054,2025-05-30,0,0,7
1240054,2025-05-31,0,0,7
1240054,2025-06-01,0,0,7
1240054,2025-06-02,0,0,7
1240054,2025-06-03,0,0,7
1240054,2025-06-04,0,0,7
1240054,2025-06-05,0,0,7
1240054,2025-06-06,0,0,7
1240054,2025-06-07,0,0,7
