station_seqnum,date,rgp1,rgp2,who_entered
1240101,2025-08-01,0.2,2,7
1240101,2025-08-02,0.2,6.6,7
1240101,2025-08-03,0.4,5.6,7
1240101,2025-08-04,0.2,2,7
1240101,2025-08-05,0,3.8,7
1240101,2025-08-06,0.4,3.8,7
1240101,2025-08-07,0.2,6,7
1240101,2025-08-08,0.6,8.2,7
1240101,2025-08-09,0.2,5.8,7
1240101,2025-08-10,0.4,7.8,7
1240101,2025-08-11,0.6,5.6,7
1240101,2025-08-12,0.2,2.8,7
1240101,2025-08-13,0,1.8,7
1240101,2025-08-14,0.2,4.4,7
1240101,2025-08-15,0.2,2,7
1240101,2025-08-16,0,5.6,7
1240101,2025-08-17,0.2,2.2,7
1240101,2025-08-18,6,8,7
1240101,2025-08-19,0.4,5,7
1240101,2025-08-20,0.6,3.4,7
1240101,2025-08-21,0.8,6.2,7
1240101,2025-08-22,0.4,5.8,7
1240101,2025-08-23,0.2,5.6,7
1240101,2025-08-24,0.2,4.4,7
1240101,2025-08-25,0,3,7
1240101,2025-08-26,1,3.4,7
1240101,2025-08-27,0,0,7
1240101,2025-08-28,29,0,7
1240101,2025-08-29,2,0,7
1240101,2025-08-30,0.8,0,7
1240102,2025-08-01,0,0,7
1240102,2025-08-02,0,0,7
1240102,2025-08-03,0,0,7
1240102,2025-08-04,0,0,7
1240102,2025-08-05,0,0,7
1240102,2025-08-06,0,0,7
1240102,2025-08-07,0,0,7
1240102,2025-08-08,0,0,7
1240102,2025-08-09,0,0,7
1240102,2025-08-10,0,0,7
1240102,2025-08-11,0,0,7
1240102,2025-08-12,0,0,7
1240102,2025-08-13,0,0,7
1240102,2025-08-14,0,0,7
1240102,2025-08-15,0,0,7
1240102,2025-08-16,0,0,7
1240102,2025-08-17,0,0,7
1240102,2025-08-18,0,0,7
1240102,2025-08-19,0,0,7
1240102,2025-08-20,0,0,7
1240102,2025-08-21,0,0,7
1240102,2025-08-22,0,0,7
1240102,2025-08-23,0,0,7
1240102,2025-08-24,0,0,7
1240102,2025-08-25,0,0,7
1240102,2025-08-26,0,0,7
1240102,2025-08-27,0,0,7
1240102,2025-08-28,0,0,7
1240102,2025-08-29,0,0,7
1240102,2025-08-30,0,0,7
1240103,2025-08-01,0,0,7
1240103,2025-08-02,0,0,7
1240103,2025-08-03,0,0,7
1240103,2025-08-04,0,0,7
1240103,2025-08-05,0,0,7
1240103,2025-08-06,0,0,7
1240103,2025-08-07,0,0,7
1240103,2025-08-08,0,0,7
1240103,2025-08-09,0,0,7
1240103,2025-08-10,0,0,7
1240103,2025-08-11,0,0,7
1240103,2025-08-12,0,0,7
1240103,2025-08-13,0,0,7
1240103,2025-08-14,0.2,0.2,7
1240103,2025-08-15,0,0,7
1240103,2025-08-16,0,0,7
1240103,2025-08-17,0,0,7
1240103,2025-08-18,0,0,7
1240103,2025-08-19,0,0,7
1240103,2025-08-20,0,0,7
1240103,2025-08-21,0,0,7
1240103,2025-08-22,0,0,7
1240103,2025-08-23,0,0,7
1240103,2025-08-24,0,0,7
1240103,2025-08-25,0,0,7
1240103,2025-08-26,0,0,7
1240103,2025-08-27,0,0,7
1240103,2025-08-28,0,0,7
1240103,2025-08-29,0,0,7
1240103,2025-08-30,0,0,7
1240104,2025-08-01,0,0,7
1240104,2025-08-02,0,0,7
1240104,2025-08-03,0,0,7
1240104,2025-08-04,0,0,7
1240104,2025-08-05,0,0,7
1240104,2025-08-06,0,0,7
1240104,2025-08-07,0,0,7
1240104,2025-08-08,0,0,7
1240104,2025-08-09,0,0,7
1240104,2025-08-10,0,0,7
1240104,2025-08-11,0,0,7
1240104,2025-08-12,0,0,7
1240104,2025-08-13,0,0,7
1240104,2025-08-14,0,0,7
1240104,2025-08-15,0,0,7
1240104,2025-08-16,0,0,7
1240104,2025-08-17,0,0,7
