station_seqnum,date,rgp1,rgp2,who_entered
1240101,2024-08-05,23.8,49.6,7
1240101,2024-08-06,0,0,7
1240101,2024-08-07,16.8,31.2,7
1240101,2024-08-08,0,0,7
1240101,2024-08-09,0,0,7
1240101,2024-08-10,0,0,7
1240101,2024-08-11,0,0,7
1240101,2024-08-12,0,0,7
1240101,2024-08-13,0,0,7
1240101,2024-08-14,0,0,7
1240101,2024-08-15,0,0,7
1240101,2024-08-16,0,0.2,7
1240101,2024-08-17,0,0,7
1240101,2024-08-18,0,0,7
1240101,2024-08-19,0,0,7
1240101,2024-08-20,0,0,7
1240101,2024-08-21,0,0,7
1240101,2024-08-22,0,0.6,7
1240101,2024-08-23,0,0.6,7
1240101,2024-08-31,0,0.4,7
1240101,2024-09-01,0,0.2,7
1240101,2024-09-02,1,11,7
1240101,2024-09-03,0,0.2,7
1240101,2024-09-04,0,0.4,7
1240101,2024-09-05,0,0,7
1240101,2024-09-06,0,0.4,7
1240101,2024-09-07,0,0.8,7
1240101,2025-06-21,0.2,7.6,7
1240101,2025-06-22,0.2,5.4,7
1240101,2025-06-23,0.4,5.6,7
1240101,2025-06-24,0.2,2,7
1240101,2025-06-25,0.4,4.4,7
1240101,2025-06-26,0.8,2.8,7
1240101,2025-06-27,0.6,4.4,7
1240101,2025-06-28,1.2,4.2,7
1240101,2025-06-29,0.8,5,7
1240101,2025-06-30,0.2,1.2,7
1240101,2025-07-01,0.4,4.4,7
1240101,2025-07-02,0.2,4.8,7
1240101,2025-07-03,0.2,2.8,7
1240101,2025-07-04,0.2,2.2,7
1240101,2025-07-05,0,3,7
1240101,2025-07-06,0.2,5.6,7
1240101,2025-07-07,0.2,2.8,7
1240101,2025-07-08,2,2.8,7
1240101,2025-07-09,0.4,2.6,7
1240101,2025-07-10,0.4,2.6,7
1240101,2025-07-11,0,2.8,7
1240101,2025-07-12,0.8,5,7
1240101,2025-07-13,0.4,11.6,7
1240101,2025-07-14,0.4,5,7
1240101,2025-07-15,0.4,6.2,7
1240101,2025-07-16,0,2.2,7
1240101,2025-07-17,0.4,6,7
1240101,2025-07-18,0,1,7
1240101,2025-07-19,0,0.8,7
1240101,2025-07-20,0,1,7
1240101,2025-07-21,0.8,2.6,7
1240101,2025-07-22,0.8,2.8,7
1240101,2025-07-23,0.2,2.6,7
1240101,2025-07-24,0.6,4.6,7
1240101,2025-07-25,0.2,1.8,7
1240101,2025-07-26,0,0.6,7
1240101,2025-07-27,0,2,7
1240101,2025-07-28,0,0.6,7
1240101,2025-07-29,1,6,7
1240101,2025-07-30,1.4,3.8,7
1240101,2025-07-31,0.2,1,7
1240102,2024-08-06,2.6,3.6,7
1240102,2024-08-07,32.8,42.6,7
1240102,2024-08-08,0,0,7
1240102,2024-08-09,0,0,7
1240102,2024-08-10,0,0,7
1240102,2024-08-11,0,0,7
1240102,2024-08-12,0,0,7
1240102,2024-08-13,0,0,7
1240102,2024-08-14,0,0,7
1240102,2024-08-15,0,0,7
1240102,2024-08-16,0,0,7
1240102,2024-08-17,0,0,7
1240102,2024-08-18,0,0,7
1240102,2024-08-19,0,0,7
1240102,2024-08-20,0,0,7
1240102,2024-08-21,0,0,7
1240102,2024-08-22,0,0,7
1240102,2024-08-23,0,0,7
1240102,2025-06-21,0,0,7
1240102,2025-06-22,0,0,7
1240102,2025-06-23,0,0,7
1240102,2025-06-24,0,0,7
1240102,2025-06-25,0,0,7
1240102,2025-06-26,0,0,7
1240102,2025-06-27,0,0,7
1240102,2025-06-28,0,0,7
1240102,2025-06-29,0,0,7
1240102,2025-06-30,0,0,7
1240102,2025-07-01,0,0,7
1240102,2025-07-02,0,0,7
1240102,2025-07-03,0,0,7
1240102,2025-07-04,0,0,7
1240102,2025-07-05,0,0,7
1240102,2025-07-06,0,0,7
1240102,2025-07-07,0,0,7
1240102,2025-07-08,0,0,7
1240102,2025-07-09,0,0,7
1240102,2025-07-10,0,0,7
1240102,2025-07-11,0,0,7
1240102,2025-07-12,0,0,7
1240102,2025-07-13,0,0,7
1240102,2025-07-14,0,0,7
1240102,2025-07-15,0,0,7
1240102,2025-07-16,0,0,7
1240102,2025-07-17,0,0,7
1240102,2025-07-18,0,0,7
1240102,2025-07-19,0,0,7
1240102,2025-07-20,0,0,7
1240102,2025-07-21,0,0,7
1240102,2025-07-22,0,0,7
1240102,2025-07-23,0,0,7
1240102,2025-07-24,0,0,7
1240102,2025-07-25,0,0,7
1240102,2025-07-26,0,0,7
1240102,2025-07-27,0,0,7
1240102,2025-07-28,0,0,7
1240102,2025-07-29,0,0,7
1240102,2025-07-30,0,0,7
1240102,2025-07-31,0,0,7
1240103,2024-08-08,0,0,7
1240103,2024-08-09,158.4,149.6,7
1240103,2024-08-10,0,0,7
1240103,2024-08-11,0,0,7
1240103,2024-08-12,0,0,7
1240103,2024-08-13,0,0,7
1240103,2024-08-14,0,0,7
1240103,2024-08-15,0,0,7
1240103,2024-08-16,0,0.6,7
1240103,2024-08-17,0,0,7
1240103,2024-08-18,0,0,7
1240103,2024-08-19,1.2,0,7
1240103,2024-08-20,0,0,7
1240103,2024-08-21,0,0,7
1240103,2024-08-22,0,0,7
1240103,2024-08-23,0,0,7
1240103,2024-08-24,0,0,7
1240103,2024-08-25,0,0,7
1240103,2024-08-26,63.4,86.4,7
1240103,2024-08-27,11.4,10.6,7
1240103,2024-08-28,1.6,2.6,7
1240103,2024-08-29,0.2,0.6,7
1240103,2024-08-30,0,2.4,7
1240103,2024-08-31,0,1.4,7
1240103,2024-09-01,27.8,22.8,7
1240103,2024-09-02,25,23,7
1240103,2024-09-03,0,0,7
1240103,2024-09-04,0,0,7
1240103,2024-09-05,0,0,7
1240103,2024-09-06,0,0,7
1240103,2024-09-07,0,0,7
1240103,2025-06-21,0,0,7
1240103,2025-06-22,0,0,7
1240103,2025-06-23,0,0,7
1240103,2025-06-24,0,0,7
1240103,2025-06-25,0,0,7
1240103,2025-06-26,0,0,7
1240103,2025-06-27,0,0,7
1240103,2025-06-28,0,0,7
1240103,2025-06-29,0,0,7
1240103,2025-06-30,0,0,7
1240103,2025-07-01,0.2,0.2,7
1240103,2025-07-02,0,0,7
1240103,2025-07-03,0,0,7
1240103,2025-07-04,0,0,7
1240103,2025-07-05,0,0,7
1240103,2025-07-06,0,0,7
1240103,2025-07-07,0,0,7
1240103,2025-07-08,0,0,7
1240103,2025-07-09,0,0,7
1240103,2025-07-10,0,0,7
1240103,2025-07-11,0,0,7
1240103,2025-07-12,0,0,7
1240103,2025-07-13,0,0,7
1240103,2025-07-14,0,0,7
1240103,2025-07-15,0,0,7
1240103,2025-07-16,0,0,7
1240103,2025-07-17,0,0,7
1240103,2025-07-18,0,0,7
1240103,2025-07-19,0,0,7
1240103,2025-07-20,0,0,7
1240103,2025-07-21,0,0,7
1240103,2025-07-22,0,0,7
1240103,2025-07-23,0,0,7
1240103,2025-07-24,0,0,7
1240103,2025-07-25,0,0,7
1240103,2025-07-26,0,0,7
1240103,2025-07-27,0,0,7
1240103,2025-07-28,0.2,0.2,7
1240103,2025-07-29,0,0,7
1240103,2025-07-30,0,0,7
1240103,2025-07-31,0,0,7
1240104,2024-08-08,0,0,7
1240104,2024-08-09,1.2,0.4,7
1240104,2024-08-10,0,0,7
1240104,2024-08-11,0,0,7
1240104,2024-08-12,0,0,7
1240104,2024-08-13,0.2,0,7
1240104,2024-08-14,1,0.6,7
1240104,2024-08-15,0.2,0.2,7
1240104,2024-08-16,0,0,7
1240104,2024-08-17,0,0.2,7
1240104,2024-08-18,0,0.2,7
1240104,2024-08-19,0.6,2.2,7
